category,scenario,template_content
beauty,initial_contact,"Hi [KOL Name]! I'm [Brand Name] from [Company Name]. We've been following your amazing content on [Platform] and love your expertise in [Specific Area]. Our new [Product Name] would be perfect for your audience. Would you be interested in a collaboration?"
beauty,follow_up,"Thank you for considering our collaboration proposal! I'd love to share more details about our [Product Name] - it's [Key Feature 1] and [Key Feature 2], which I think your followers would absolutely love. We're offering [Compensation Details] for this partnership."
beauty,product_intro,"Let me introduce you to our revolutionary [Product Name]! This [Product Category] features [Key Ingredient 1] and [Key Ingredient 2], delivering [Benefit 1] and [Benefit 2]. It's perfect for [Target Audience] and has already helped [Number] users achieve [Result]."
beauty,cooperation_plan,"We envision a [Duration]-week partnership featuring [Content Type 1], [Content Type 2], and [Content Type 3]. You'll receive [Payment Structure] plus complimentary products. We'll also provide [Support Resources] to ensure your success."
fashion,initial_contact,"Hello [KOL Name]! Your fashion sense on [Platform] is absolutely stunning! I'm [Brand Name] from [Company Name], and we'd love to collaborate with you on our new [Collection Name]. Your style perfectly matches our brand aesthetic!"
fashion,follow_up,"Following up on our collaboration proposal! Our [Collection Name] features [Key Design Elements] that would look amazing on you. We're offering [Compensation Details] and creative freedom to showcase your unique style. What do you think?"
fashion,product_intro,"Introducing our latest [Collection Name]! This line combines [Design Philosophy] with [Material Quality], offering [Style Benefit 1] and [Style Benefit 2]. Each piece is designed for [Target Customer] and priced at [Price Range]."
fashion,cooperation_plan,"We propose a [Number]-post collaboration across [Platform 1], [Platform 2], and [Platform 3]. You'll receive [Payment Amount] plus [Additional Benefits]. We'll handle [Logistics Details] and provide [Creative Support]."
food,initial_contact,"Hi [KOL Name]! Your food content on [Platform] always makes us hungry! I'm [Brand Name] from [Company Name], and we'd love to partner with you to showcase our [Product Name]. Your audience would love this!"
food,follow_up,"Thanks for your interest in our [Product Name]! Let me share more about why this [Food Category] is special: [Key Feature 1], [Key Feature 2], and [Key Feature 3]. We're offering [Compensation Details] for this delicious collaboration!"
food,product_intro,"Meet our amazing [Product Name]! This [Food Category] is made with [Ingredient 1] and [Ingredient 2], delivering [Taste Benefit 1] and [Health Benefit 1]. It's perfect for [Usage Occasion] and has [Certification/Quality Mark]."
food,cooperation_plan,"We're planning a [Duration]-day food campaign featuring [Content Type 1], [Content Type 2], and [Live Event]. You'll receive [Payment Structure] plus unlimited products. We'll also provide [Production Support] for high-quality content."
tech,initial_contact,"Hello [KOL Name]! Your tech reviews on [Platform] are incredibly insightful! I'm [Brand Name] from [Company Name], and we'd love to send you our new [Product Name] for an honest review."
tech,follow_up,"Following up on our review proposal! Our [Product Name] features [Tech Spec 1] and [Tech Spec 2], making it [Performance Benefit]. We're offering [Compensation Details] and complete creative control for your authentic review."
tech,product_intro,"Introducing the [Product Name] - a game-changing [Product Category]! With [Key Technology 1] and [Key Technology 2], it delivers [Performance Benefit 1] and [User Benefit 1]. Perfect for [Target User] and priced at [Price Point]."
tech,cooperation_plan,"We propose a [Content Type] collaboration including [Review Format 1], [Review Format 2], and [Bonus Content]. You'll receive [Payment Amount] plus the [Product Name] for keeps. We'll provide [Technical Support] as needed."
